,icpsr_id,name,congress,party_status,committee_party_rank,party,state,committee
1277,3206,"Flanders, Ralph E.",85,2,3,Republican,VT,Armed Services
1278,8666,"Smith, Margaret Chase",85,2,4,Republican,ME,Armed Services
1279,1570,"Case, Francis H.",85,2,5,Republican,SD,Armed Services
1280,1329,"Bush, Prescott S.",85,2,6,Republican,CT,Armed Services
1281,464,"Barrett, Frank A.",85,2,7,Republican,WY,Armed Services
1282,3388,"Fulbright, J. William",85,1,1,Democrat,AR,"Banking, Housing and Urban Affairs"
1283,7958,"Robertson, A. Willis",85,1,2,Democrat,VA,"Banking, Housing and Urban Affairs"
1284,8764,"Sparkman, John J.",85,1,3,Democrat,AL,"Banking, Housing and Urban Affairs"
1285,3349,"Frear, J. Allen Jr.",85,1,4,Democrat,DE,"Banking, Housing and Urban Affairs"
1286,2691,"Douglas, Paul H.",85,1,5,Democrat,IL,"Banking, Housing and Urban Affairs"
1287,6597,"Monroney, A. S. Mike",85,1,6,Democrat,OK,"Banking, Housing and Urban Affairs"
1288,5500,"Lausche, Frank J.",85,1,7,Democrat,OH,"Banking, Housing and Urban Affairs"
1289,1776,"Clark, Joseph S.",85,1,8,Democrat,PA,"Banking, Housing and Urban Affairs"
1290,1489,"Capehart, Homer E.",85,2,1,Republican,IN,"Banking, Housing and Urban Affairs"
1291,1024,"Bricker, John W.",85,2,2,Republican,OH,"Banking, Housing and Urban Affairs"
1292,4834,"Ives, Irving M.",85,2,3,Republican,NY,"Banking, Housing and Urban Affairs"
1293,645,"Bennett, Wallace F.",85,2,4,Republican,UT,"Banking, Housing and Urban Affairs"
1294,1329,"Bush, Prescott S.",85,2,5,Republican,CT,"Banking, Housing and Urban Affairs"
1295,546,"Beall, J. Glenn",85,2,6,Republican,MD,"Banking, Housing and Urban Affairs"
1296,7271,"Payne, Frederick G.",85,2,7,Republican,ME,"Banking, Housing and Urban Affairs"
1297,7638,"Proxmire, William",85,6,1,Democrat,WI,"Banking, Housing and Urban Affairs"
1298,1569,"Case, Clifford P.",85,7,1,Republican,NJ,"Banking, Housing and Urban Affairs"
1299,6856,"Neely, Matthew M.",85,1,1,Democrat,WV,District of Columbia
1300,688,"Bible, Alan H.",85,1,2,Democrat,NV,District of Columbia
1301,6738,"Morse, Wayne L.",85,1,3,Democrat,OR,District of Columbia
1302,3349,"Frear, J. Allen Jr.",85,1,4,Democrat,DE,District of Columbia
1303,1776,"Clark, Joseph S.",85,1,5,Democrat,PA,District of Columbia
1304,546,"Beall, J. Glenn",85,2,1,Republican,MD,District of Columbia
1305,1569,"Case, Clifford P.",85,2,2,Republican,NJ,District of Columbia
1306,6745,"Morton, Thruston B.",85,2,3,Republican,KY,District of Columbia
1307,4898,"Javits, Jacob K.",85,2,4,Republican,NY,District of Columbia
1308,7638,"Proxmire, William",85,6,1,Democrat,WI,District of Columbia
1309,4473,"Hoblitzell, John D. Jr.",85,7,1,Republican,WV,District of Columbia
1310,1365,"Byrd, Harry Flood",85,1,1,Democrat,VA,Finance
1311,5213,"Kerr, Robert S.",85,1,2,Democrat,OK,Finance
1312,3349,"Frear, J. Allen Jr.",85,1,3,Democrat,DE,Finance
1313,5767,"Long, Russell B.",85,1,4,Democrat,LA,Finance
1314,8593,"Smathers, George A.",85,1,5,Democrat,FL,Finance
1315,165,"Anderson, Clinton P.",85,1,6,Democrat,NM,Finance
1316,2691,"Douglas, Paul H.",85,1,7,Democrat,IL,Finance
1317,3704,"Gore, Albert A.",85,1,8,Democrat,TN,Finance
1318,6021,"Martin, Edward",85,2,1,Republican,PA,Finance
1319,0163,"Williams, John J.",85,2,2,Republican,DE,Finance
1320,3206,"Flanders, Ralph E.",85,2,3,Republican,VT,Finance
1321,5944,"Malone, George W.",85,2,4,Republican,NV,Finance
1322,1510,"Carlson, Frank",85,2,5,Republican,KS,Finance
1323,645,"Bennett, Wallace F.",85,2,6,Republican,UT,Finance
1324,4922,"Jenner, William E.",85,2,7,Republican,IN,Finance
1325,3783,"Green, Theodore F.",85,1,1,Democrat,RI,Foreign Relations
1326,3388,"Fulbright, J. William",85,1,2,Democrat,AR,Foreign Relations
1327,8764,"Sparkman, John J.",85,1,3,Democrat,AL,Foreign Relations
1328,4728,"Humphrey, Hubert H. Jr.",85,1,4,,MN,Foreign Relations
1329,5967,"Mansfield, Michael J.",85,1,5,Democrat,MT,Foreign Relations
1330,6738,"Morse, Wayne L.",85,1,6,Democrat,OR,Foreign Relations
1331,5767,"Long, Russell B.",85,1,7,Democrat,LA,Foreign Relations
1332,5180,"Kennedy, John F.",85,1,8,Democrat,MA,Foreign Relations
1333,0110,"Wiley, Alexander",85,2,1,Republican,WI,Foreign Relations
1334,8635,"Smith, H. Alexander",85,2,2,Republican,NJ,Foreign Relations
1335,4382,"Hickenlooper, Bourke B.",85,2,3,Republican,IA,Foreign Relations
1336,5452,"Langer, William",85,2,4,Republican,ND,Foreign Relations
1337,5343,"Knowland, William F.",85,2,5,Republican,CA,Foreign Relations
1338,52,"Aiken, George D.",85,2,6,Republican,VT,Foreign Relations
1339,1489,"Capehart, Homer E.",85,2,7,Republican,IN,Foreign Relations
1340,6151,"McClellan, John L.",85,1,1,Democrat,AR,Governmental Affairs
1341,4851,"Jackson, Henry M.",85,1,2,Democrat,WA,Governmental Affairs
1342,9141,"Symington, W. Stuart",85,1,3,Democrat,MO,Governmental Affairs
1343,2987,"Ervin, Samuel J.",85,1,4,Democrat,NC,Governmental Affairs
1344,4728,"Humphrey, Hubert H. Jr.",85,1,5,,MN,Governmental Affairs
1345,9369,"Thurmond, J. Strom",85,1,6,Democrat,SC,Governmental Affairs
